,Feature,Importance
5,MA4,0.5582946160314785
17,close_lag_1,0.44072094097462894
8,price_momentum,0.00014547063147888104
19,close_lag_4,9.780807743287373e-05
7,MA96,9.275760854550764e-05
6,MA16,8.312569208981402e-05
10,price_momentum_1d,6.213518835773458e-05
11,volatility,6.209234900351824e-05
9,price_momentum_4h,5.3289641946778725e-05
14,volume_volatility,4.924125797258857e-05
13,volume_ma16,4.2568507549279165e-05
25,close_lag_96,3.8190277244520844e-05
2,day_of_month,3.304056023031019e-05
23,close_lag_32,3.084298259540239e-05
0,hour,2.738885986762477e-05
21,close_lag_16,2.2845195220719855e-05
15,candle_range,2.0352952627165876e-05
16,range_pct,2.013648318645665e-05
24,volume_lag_32,1.739594667607373e-05
18,volume_lag_1,1.720701524397442e-05
22,volume_lag_16,1.5027692321402339e-05
20,volume_lag_4,1.4137799177372859e-05
26,volume_lag_96,1.2676971418814763e-05
1,day_of_week,1.1907243995120889e-05
12,volume_change,9.328310503902896e-06
3,month,5.475749206875591e-06
4,year,0.0
